SpeciesCode|Mobility|SpeciesName|CommonName|MajorTaxa|Group|QuantScale
ac|s|Acanthoptilum sp.|Sea Pen|Cnidaria|Virgulariid|individuals
ae|m|Mediaster aequalis|Vermillion seastar|Echinodermata|Asteroid|individuals
an|s|Parazoanthus lucificum|Luminescent Parazoanthid|Cnidaria|Parazoanthid|individuals
ap|s|Adelogorgia phyllosclera|Orange Gorgonian|Cnidaria|Gorgoniid|individuals
as|m|Astropecten sp.|Sand Star|Echinodermata|Asteroid|individuals
ba|m|Patiria miniata|Bat Star|Echinodermata|Asteroid|individuals
bas|s|Gorgonocephalus eucnemis|Basket Star|Echinodermata|Ophiuroid|individuals
bc|s|Bugula californica|Spiral Bryozoan|Bryozoa|Bugulid|individuals
bgo|hm|Rhinogobiops nicholsii|Blackeye Goby|Chordata|Gobiid|individuals
bgu|hm|Zapteryx exasperata|Banded Guitarfish|Chordata|Rhinobatid|individuals
bi|m|Octopus californicus|Bigeye Octopus|Mollusca|Octopoda|individuals
bl|hm|Sebastes melanops|Black Rockfish|Chordata|Sebastid|individuals
bo|hm|Sebastes paucispinis|Bocaccio|Chordata|Sebastid|individuals
br|hm|Sebastes auriculatus|Brown Rockfish|Chordata|Sebastid|individuals
bs|s|*|Boring Sponge|Porifera|Demospongiae|individuals
ca|hm|Sebates dallii|Calico Rockfish|Chordata|Sebastid|individuals
cc|m|Centrostephanus coronatus|Coronado Sea Urchin|Echinodermata|Asteroid|individuals
cd|s|Florometra serratissima|Feather Star|Echinodermata|Crinoid|individuals
cg|s|Muricea californica|Golden Gorgonian|Cnidaria|Gorgoniid|individuals
ch|hm|Paralichthus californicus|California Halibut|Chordata|Paralichthyid|individuals
com|hm|Zaniolepis spp.|Combfish|Chordata|Zaniolepid|individuals
cp|hm|Chromis punctipinnis|Blacksmith|Chordata|Pomacentrid|log10
cr|s|Craniella arb|Gray Puffball Sponge|Porifera|Demospongiae|individuals
